urlsave,probcharg,kilowatt,connector,usernames,usercars,dates,comments,X,name,url_location
https://www.plugshare.com/location/10069,"", Kilowatts,Wall,PlugSharer,"","Jun 25, 2013","Jun 25, 2013check_circlecancelaccess_timeinfoPlugSharer solarpower Wall  Volts  Amps  Kilowatts Best to charge at 8 amps at outlet may be shared with a coffee maker in the Verizon store.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",338655,"Verizon/China Star | Putnam, CT | EV Station",https://www.plugshare.com/location/10069
https://www.plugshare.com/location/10086,"",1 Kilowatts,Wall,Mark,Chevrolet Volt Plug-In Hybrid 2019,"Jul 13, 2014","Jul 13, 2014check_circlecancelaccess_timeinfoMark solarpowerChevrolet Volt Plug-In Hybrid 2019 Wall 120 Volts 12 Amps 1 Kilowatts Charging at 12 amps for an hour while having breakfast.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",380,"Java Jive Cafe | Woodstock, CT | EV Station",https://www.plugshare.com/location/10086
https://www.plugshare.com/location/10156,Could Not Activate, Kilowatts,CCS1,Personal Only,Kia Niro EV 2022,"Sep 7, 2023","Sep 7, 2023check_circlecancelaccess_timeinfoPersonal Only solarpowerKia Niro EV 2022Could Not Activate CCS1  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,Broken Hardware, Kilowatts,"",janhunter52,Volkswagen ID.4 2023,"Sep 7, 2023","Sep 7, 2023check_circlecancelaccess_timeinfojanhunter52 solarpowerVolkswagen ID.4 2023Broken Hardware   Volts  Amps  Kilowatts Neither one is operating at this time(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",20 Kilowatts,CCS1,Dillon Mayotte,Hyundai Kona Electric 2021,"Jun 5, 2023","Jun 5, 2023check_circlecancelaccess_timeinfoDillon Mayotte solarpowerHyundai Kona Electric 2021 CCS1  Volts  Amps 20 Kilowatts Got 20KW fast charging to work on a rental Hyundai Kona EV. Thanks Vachon!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,CCS1,BoltEV,Chevrolet Bolt EV 2017,"May 16, 2023","May 16, 2023check_circlecancelaccess_timeinfoBoltEV solarpowerChevrolet Bolt EV 2017 CCS1  Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,J-1772,Stephen,Smart EQ Fortwo 2017,"Feb 12, 2023","Feb 12, 2023check_circlecancelaccess_timeinfoStephen solarpowerSmart EQ Fortwo 2017 J-1772  Volts  Amps 0 Kilowatts Good to know that it's there.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",0 Kilowatts,"",Alan,Kia Niro EV 2022,"Jan 7, 2023","Jan 7, 2023check_circlecancelaccess_timeinfoAlan solarpowerKia Niro EV 2022   Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",5 Kilowatts,"",Alan,Kia Niro EV 2022,"Dec 21, 2022","Dec 21, 2022check_circlecancelaccess_timeinfoAlan solarpowerKia Niro EV 2022   Volts  Amps 5 Kilowatts Charging at 5.9kw is all that's avail. 
32kw plug out of service for a week now.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
https://www.plugshare.com/location/10156,"",24 Kilowatts,CCS1,Brandon Kleinknecht,Ford F-150 Lightning 2022,"Oct 24, 2022","Oct 24, 2022check_circlecancelaccess_timeinfoBrandon Kleinknecht solarpowerFord F-150 Lightning 2022 CCS1  Volts  Amps 24 Kilowatts Works well!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful",740,"Vachon Chevrolet - Service | Brooklyn, CT | EV Station",https://www.plugshare.com/location/10156
