"","row","url","Latitude","Longitude","Address","PlugCount","PlugType","PlugPower","StationCount","AvailableCount","InUseCount","UnavailCount","ChargNetwork","DatePull"
"1",1,"https://www.plugshare.com/location/328965","['41.294865']","['-73.494613']","['125 Danbury Rd, Ridgefield, CT 06877, USA ']","['2 Plugs']","['J-1772']","['9.6 kW']","['2 Stations']","['1']","['1']","['0']","['Shell Recharge']","Sat Jun 07 2025 11:22:48 GMT-0400 (Eastern Daylight Time)"
"2",2,"https://www.plugshare.com/location/707052","['41.14764873270171']","['-73.493949030924']","['71 Main St, New Canaan, CT 06840, USA ']","['2 Plugs']","['J-1772']","['9.6 kW']","['2 Stations']","['1']","['1']","['0']","['AmpUp']","Sat Jun 07 2025 11:20:48 GMT-0400 (Eastern Daylight Time)"
"3",3,"https://www.plugshare.com/location/660630","['41.33495']","['-72.04836']","['139 Tower Ave, Groton, CT 06340, USA ']","['4 Plugs']","['J-1772']","['6.656 kW']","['4 Stations']","['2']","['0']","['2']","['FLO']","Sat Jun 07 2025 12:23:52 GMT-0400 (Eastern Daylight Time)"
"4",4,"https://www.plugshare.com/location/602245","['41.213667989828025']","['-73.07782271138407']","['1 Boston Post Road, Milford, CT 06460, USA ']","['4 Plugs']","['J-1772']","['6.761 - 8.64 kW']","['4 Stations']","['1']","['0']","['3']","['Blink']","Sat Jun 07 2025 12:37:16 GMT-0400 (Eastern Daylight Time)"
"5",5,"https://www.plugshare.com/location/455381","['41.875313']","['-73.107544']","['811 Burr Mountain Rd, Torrington, CT 06790, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['4']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:36:11 GMT-0400 (Eastern Daylight Time)"
"6",6,"https://www.plugshare.com/location/547727","['41.038921']","['-73.560366']","['West Ave & 419 West Ave, Stamford, CT 06910, USA ']","['7 Plugs']","['J-1772']","['6.48 kW']","['4 Stations']","['5']","['2']","['0']","['ChargePoint']","Sat Jun 07 2025 12:04:32 GMT-0400 (Eastern Daylight Time)"
"7",7,"https://www.plugshare.com/location/642476","['41.82710753644691']","['-72.73498468101025']","['25 Jerome Avenue, Bloomfield, CT 06002, USA ']","['4 Plugs']","['J-1772']","['20 kW']","['4 Stations']","['4']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:34:58 GMT-0400 (Eastern Daylight Time)"
"8",8,"https://www.plugshare.com/location/712050","['41.419846589771346']","['-72.83851125396728']","['576 Washington Ave, North Haven, CT 06473 ']","['2 Plugs']","['J-1772']","['19.2 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:28:59 GMT-0400 (Eastern Daylight Time)"
"9",9,"https://www.plugshare.com/location/631362","['41.232672']","['-73.045208']","['1040 Boston Post Rd, Milford, CT 06460, USA ']","['1 Plug', '1 Plug']","['CCS1', 'CHAdeMO']","['125 kW', '125 kW']","['1 Station', '1 Station']","['0', '0']","['1', '1']","['0', '0']","['ChargePoint', 'ChargePoint']","Sat Jun 07 2025 12:34:51 GMT-0400 (Eastern Daylight Time)"
"10",10,"https://www.plugshare.com/location/571481","['41.1826']","['-73.1649']","['800 Union Ave, Bridgeport, CT 06607 ']","['4 Plugs']","['J-1772']","['9.568 kW']","['4 Stations']","['4']","['0']","['0']","['SWTCH']","Sat Jun 07 2025 12:03:43 GMT-0400 (Eastern Daylight Time)"
"11",11,"https://www.plugshare.com/location/567672","['41.55565795952817']","['-72.67135711097565']","['590 Washington St, Middletown, CT 06457, USA ']","['4 Plugs']","['J-1772']","['7.68 kW']","['4 Stations']","['4']","['0']","['0']","['EvGateway']","Sat Jun 07 2025 12:06:00 GMT-0400 (Eastern Daylight Time)"
"12",12,"https://www.plugshare.com/location/550586","['41.5163014']","['-72.9883636']","['91 Waterbury Rd, Prospect, CT 06712, USA ']","['2 Plugs']","['J-1772']","['6.24 kW']","['2 Stations']","['1']","['1']","['0']","['FLO']","Sat Jun 07 2025 12:21:50 GMT-0400 (Eastern Daylight Time)"
"13",13,"https://www.plugshare.com/location/586509","['38.90521824416255']","['-77.04149857583008']","['1150 Connecticut Ave NW, Washington, DC 20036, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['2']","['2']","['0']","['ChargePoint']","Sat Jun 07 2025 12:26:02 GMT-0400 (Eastern Daylight Time)"
"14",14,"https://www.plugshare.com/location/608122","['41.75992']","['-72.311042']","['227 Cross St, Coventry, CT 06238, USA ']","['2 Plugs']","['J-1772']","['6.24 kW']","['2 Stations']","['2']","['0']","['0']","['FLO']","Sat Jun 07 2025 11:48:27 GMT-0400 (Eastern Daylight Time)"
"15",15,"https://www.plugshare.com/location/367658","['41.555355']","['-72.679427']","['808 Washington St, Middletown 06457 ']","['3 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['2']","['0']","['1']","['ChargePoint']","Sat Jun 07 2025 12:35:18 GMT-0400 (Eastern Daylight Time)"
