"","row","url","Latitude","Longitude","Address","PlugType","PlugPower","StationCount","AvailableCount","InUseCount","UnavailCount","ChargNetwork","DatePull"
"1",1,"https://www.plugshare.com/location/619909","['41.370208']","['-73.476687']","['1 Miry Brook Rd, Danbury, CT 06810, USA ']","['J-1772', 'CCS1', 'CHAdeMO']","['6.48 kW', '62 kW', '62.5 kW']","['2 Stations', '2 Stations', '2 Stations']","['3', '2', '2']","['1', '0', '0']","['0', '0', '0']","['ChargePoint', 'ChargePoint', 'ChargePoint']","Mon Jun 02 2025 15:40:21 GMT-0400 (Eastern Daylight Time)"
"2",2,"https://www.plugshare.com/location/490101","['41.272736']","['-72.819614']","['342 Harbor St, Branford, CT 06405, USA ']","['J-1772']","['6.24 kW']","['2 Stations']","['2']","['0']","['0']","['FLO']","Mon Jun 02 2025 13:45:40 GMT-0400 (Eastern Daylight Time)"
"3",3,"https://www.plugshare.com/location/34393","['41.426806']","['2.184211']","['Concepció Arenal, 156 ']","['Wall (Euro)']","[' kW']","['1 Station']","['0']","['0']","['0']","['Endesa']","Mon Jun 02 2025 13:06:44 GMT-0400 (Eastern Daylight Time)"
"4",4,"https://www.plugshare.com/location/711642","['41.490178512975746']","['-72.08856962621212']","['Mohegan Sun, 1 Mohegan Sun Blvd, Uncasville, CT 06382, USA ']","['NACS (Tesla)']","[' kW']","['20 Stations']","['0']","['0']","['0']","['']","Mon Jun 02 2025 14:33:48 GMT-0400 (Eastern Daylight Time)"
"5",5,"https://www.plugshare.com/location/452270","['41.376747']","['2.175391']","['Carrer del Portal de Santa Madrona, 10, 08001 Barcelona, Hiszpania ']","['Type 2']","[' kW']","['3 Stations']","['0']","['0']","['0']","['']","Mon Jun 02 2025 13:38:40 GMT-0400 (Eastern Daylight Time)"
"6",6,"https://www.plugshare.com/location/425043","['41.96758']","['2.783839']","['C/ de Miquel Martí i Pol, 11, 17190 Salt, Girona, Spain ']","['Type 2']","[' kW']","['1 Station']","['0']","['0']","['0']","['']","Mon Jun 02 2025 13:22:01 GMT-0400 (Eastern Daylight Time)"
"7",7,"https://www.plugshare.com/location/139246","['41.155207']","['-73.328215']","['70 North Ave, Westport, CT 06880, USA ']","['J-1772']","['6.24 kW']","['2 Stations']","['0']","['0']","['2']","['Blink']","Mon Jun 02 2025 12:32:59 GMT-0400 (Eastern Daylight Time)"
"8",8,"https://www.plugshare.com/location/452070","['42.402611']","['2.878491']","['Carretera Nacional, 3, 17709 La Jonquera, Girona, Spain ']","['CHAdeMO', 'CCS2', 'Type 2']","[' kW', ' kW', ' kW']","['1 Station', '4 Stations', '1 Station']","['0', '0', '0']","['0', '0', '0']","['0', '0', '0']","['Endesa', 'Endesa', 'Endesa']","Mon Jun 02 2025 13:38:27 GMT-0400 (Eastern Daylight Time)"
"9",9,"https://www.plugshare.com/location/18427","['41.820304']","['-72.869278']","['46 Albany Tpke., West Simsbury, CT 06092, USA ']","['J-1772']","[' kW']","['1 Station']","['0']","['0']","['0']","['']","Mon Jun 02 2025 12:43:49 GMT-0400 (Eastern Daylight Time)"
"10",10,"https://www.plugshare.com/location/620986","['41.34854299587407']","['-72.44106285274029']","['11A N Main St, Ivoryton, CT 06442, USA ']","['J-1772']","['9.6 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Mon Jun 02 2025 15:40:29 GMT-0400 (Eastern Daylight Time)"
"11",11,"https://www.plugshare.com/location/34598","['41.413759']","['2.142978']","['Avinguda de Vallcarca    , 154 ']","['Wall (Euro)']","[' kW']","['1 Station']","['0']","['0']","['0']","['Endesa']","Mon Jun 02 2025 13:09:27 GMT-0400 (Eastern Daylight Time)"
"12",12,"https://www.plugshare.com/location/239613","['41.494664']","['2.359153']","['08330 Premiá de Mar, Barcelona ']","['Type 2']","[' kW']","['1 Station']","['0']","['0']","['0']","['']","Mon Jun 02 2025 12:52:54 GMT-0400 (Eastern Daylight Time)"
"13",13,"https://www.plugshare.com/location/711801","['41.81887895665743']","['-73.08272536844015']","['931 Torringford St, Torrington, CT 06790, USA ']","['J-1772']","['9.6 kW']","['2 Stations']","['2']","['0']","['0']","['Shell Recharge']","Mon Jun 02 2025 14:33:51 GMT-0400 (Eastern Daylight Time)"
"14",14,"https://www.plugshare.com/location/221131","['42.408236']","['0.742207']","['Carrer de la Vall de Boí, 2, 25520 El Pont de Suert, Lerida, Spain ']","['CHAdeMO', 'CCS2', 'Type 2']","['50 kW', '50 kW', '22 kW']","['1 Station', '1 Station', '1 Station']","['0', '0', '0']","['0', '0', '0']","['0', '0', '0']","['Enel X', 'Enel X', 'Enel X']","Mon Jun 02 2025 15:08:31 GMT-0400 (Eastern Daylight Time)"
"15",15,"https://www.plugshare.com/location/71309","['41.490601999999996']","['-73.22501178406144']","['522 Heritage Rd, Southbury, CT 06488 ']","['J-1772']","['6.656 - 9.568 kW']","['2 Stations']","['2']","['0']","['0']","['SWTCH']","Mon Jun 02 2025 14:34:02 GMT-0400 (Eastern Daylight Time)"
"16",16,"https://www.plugshare.com/location/386216","['41.396459']","['2.149683']","['53 Travessera de Gràcia, Barcelona, Barcelona, 08029, ESP ']","['Type 2']","['7 kW']","['2 Stations']","['1']","['1']","['0']","['EDP Clientes, S.A.']","Mon Jun 02 2025 13:17:48 GMT-0400 (Eastern Daylight Time)"
"17",17,"https://www.plugshare.com/location/560829","['41.53900416574554']","['-72.80335934017323']","['22 Church St, Meriden, CT 06451, USA ']","['J-1772']","[' kW']","['2 Stations']","['0']","['0']","['0']","['']","Mon Jun 02 2025 15:30:32 GMT-0400 (Eastern Daylight Time)"
"18",18,"https://www.plugshare.com/location/189708","['41.219854']","['1.536368']","['Carrer Orient, 6, 43700 Vendrell, Tarragona, Spain ']","['CHAdeMO', 'CCS2', 'Type 2']","[' kW', ' kW', ' kW']","['1 Station', '1 Station', '1 Station']","['0', '0', '0']","['0', '0', '0']","['0', '0', '0']","['', '', '']","Mon Jun 02 2025 12:45:03 GMT-0400 (Eastern Daylight Time)"
"19",19,"https://www.plugshare.com/location/34302","['41.379272']","['2.169617']","['C/ San Rafael, 15 ']","['Wall (Euro)']","[' kW']","['1 Station']","['0']","['0']","['0']","['Endesa']","Mon Jun 02 2025 13:04:54 GMT-0400 (Eastern Daylight Time)"
"20",20,"https://www.plugshare.com/location/638973","['41.71711567528279']","['-72.60440180118432']","['53 Salmon Brook Dr, Glastonbury, CT 06033, USA ']","['J-1772']","['9.6 kW']","['6 Stations']","['6']","['0']","['0']","['AmpUp']","Mon Jun 02 2025 14:26:54 GMT-0400 (Eastern Daylight Time)"
"21",21,"https://www.plugshare.com/location/624379","['41.35722686631737']","['-72.22141865870513']","['10304 Maple Tree Ln, East Lyme, CT 06333, USA ']","['J-1772']","[' kW']","['2 Stations']","['0']","['0']","['0']","['Evium Charging']","Mon Jun 02 2025 15:41:20 GMT-0400 (Eastern Daylight Time)"
"22",22,"https://www.plugshare.com/location/165444","['41.20335500084182']","['-73.18992994841005']","['59 Sylvan Ave, Bridgeport, CT 06606, USA ']","['J-1772', 'CHAdeMO', 'CCS1']","[' kW', '125 kW', '125 kW']","['1 Station', '2 Stations', '2 Stations']","['0', '1', '1']","['0', '0', '0']","['0', '0', '0']","['', 'ChargePoint', 'ChargePoint']","Mon Jun 02 2025 12:40:18 GMT-0400 (Eastern Daylight Time)"
"23",23,"https://www.plugshare.com/location/115279","['41.441245']","['2.199982']","[""Carrer de la Ciutat d'Asunción, 55-57, 08030\u200e Barcelona\u200e Catalonië, Spanje ""]","['CHAdeMO']","['50 kW']","['1 Station']","['0']","['0']","['0']","['']","Mon Jun 02 2025 12:28:05 GMT-0400 (Eastern Daylight Time)"
"24",24,"https://www.plugshare.com/location/34301","['41.403246']","['2.152285']","['C/ Gran de Gracia, 190 ']","['Wall (Euro)']","[' kW']","['1 Station']","['0']","['0']","['0']","['Endesa']","Mon Jun 02 2025 13:04:51 GMT-0400 (Eastern Daylight Time)"
"25",25,"https://www.plugshare.com/location/301298","['41.41054']","['2.137645']","['Passeig de Sant Gervasi, 51, 53, 08022 ']","['Type 2']","[' kW']","['3 Stations']","['0']","['0']","['0']","['']","Mon Jun 02 2025 15:10:12 GMT-0400 (Eastern Daylight Time)"
"26",26,"https://www.plugshare.com/location/10652","['41.25904958727801']","['-73.4356051951065']","['978 Danbury Rd, Wilton, CT 06897, USA ']","['CHAdeMO', 'CCS1']","['50 kW', '50 kW']","['1 Station', '1 Station']","['0', '0']","['0', '0']","['0', '0']","['InCharge', 'InCharge']","Mon Jun 02 2025 12:26:26 GMT-0400 (Eastern Daylight Time)"
"27",27,"https://www.plugshare.com/location/120263","['41.825599']","['-71.888936']","['742 Upper Maple St, Danielson, CT 06239 ']","['J-1772']","[' kW']","['2 Stations']","['0']","['0']","['0']","['']","Mon Jun 02 2025 12:28:57 GMT-0400 (Eastern Daylight Time)"
"28",28,"https://www.plugshare.com/location/638017","['41.792499389764615']","['-72.51733851289748']","['63 N Elm St, Manchester, CT 06042, USA ']","['J-1772']","['13.3 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Mon Jun 02 2025 14:25:15 GMT-0400 (Eastern Daylight Time)"
"29",29,"https://www.plugshare.com/location/426531","['41.915396']","['1.185469']","['Plaça Sant Cristòfol, Ponts ']","['CHAdeMO', 'Type 2', 'CCS2']","[' kW', ' kW', ' kW']","['1 Station', '1 Station', '1 Station']","['0', '0', '0']","['0', '0', '0']","['0', '0', '0']","['', '', '']","Mon Jun 02 2025 13:22:42 GMT-0400 (Eastern Daylight Time)"
"30",30,"https://www.plugshare.com/location/469050","['41.724817']","['2.933828']","['Carrer Pintor Francesc Serra, 1, 17320 Tossa de Mar, Girona, Spain ']","['Type 2']","[' kW']","['1 Station']","['0']","['0']","['0']","['']","Mon Jun 02 2025 13:41:58 GMT-0400 (Eastern Daylight Time)"
"31",31,"https://www.plugshare.com/location/110900","['41.408258']","['2.21174']","['340 Carrer de Llull, Barcelona, , Spain, 8019 ']","['Type 2']","['11 kW']","['7 Stations']","['0']","['0']","['0']","['Tesla Destination']","Mon Jun 02 2025 15:02:57 GMT-0400 (Eastern Daylight Time)"
"32",32,"https://www.plugshare.com/location/40141","['41.041002']","['-73.540482']","['201 Commons Park South, Stamford, CT 06902, USA ']","['J-1772']","['6.6 kW']","['1 Station']","['0']","['0']","['0']","['ChargePoint']","Mon Jun 02 2025 13:19:24 GMT-0400 (Eastern Daylight Time)"
"33",33,"https://www.plugshare.com/location/57040","['41.419772']","['2.180966']","['Plaça Maragall ']","['Wall (Euro)']","[' kW']","['1 Station']","['0']","['0']","['0']","['']","Mon Jun 02 2025 14:04:28 GMT-0400 (Eastern Daylight Time)"
"34",34,"https://www.plugshare.com/location/340048","['41.558475']","['-72.658492']","['301 Washington Terrace, Middletown, CT 06457, USA ']","['J-1772']","[' kW']","['3 Stations']","['0']","['0']","['0']","['']","Mon Jun 02 2025 15:11:28 GMT-0400 (Eastern Daylight Time)"
"35",35,"https://www.plugshare.com/location/634005","['43.74912345159817']","['28.576352280680624']","['Sandalandala, Strada Delfinului 9, Vama Veche 907163, Romania ']","['Type 2', 'Wall (Euro)']","[' kW', ' kW']","['3 Stations', '3 Stations']","['0', '0']","['0', '0']","['0', '0']","['plugpoint', 'plugpoint']","Mon Jun 02 2025 15:42:22 GMT-0400 (Eastern Daylight Time)"
